ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,1,2217915231,0.5382,0.9815,0.7962,0.8269,0.8081,0.8868
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,2,2217915231,0.5471,0.9841,0.8095,0.8762,0.8221,0.8955
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,3,2217915231,0.5522,0.9837,0.8072,0.8736,0.8254,0.8922
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,5,2217915231,0.5618,0.9832,0.7998,0.8917,0.8214,0.8871
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,2,1,1,1,2450998609,0.5398,0.9850,0.8185,0.8507,0.8297,0.9010
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,2,1,1,2,2450998609,0.5475,0.9854,0.8030,0.8727,0.8073,0.8934
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,7,2217915231,0.5673,0.9828,0.7959,0.9033,0.8202,0.8839
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,2,1,1,3,2450998609,0.5485,0.9828,0.7917,0.8542,0.8044,0.8839
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,10,2217915231,0.5770,0.9819,0.7919,0.8985,0.8157,0.8811
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,2,1,1,5,2450998609,0.5569,0.9832,0.7865,0.8690,0.7979,0.8811
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,0,1,1,15,2217915231,0.5897,0.9806,0.7858,0.8800,0.8084,0.8766
ActivityRecognitionWithHealthyOlderPeopleUsingABatterylessWearableSensor-RoomSet2,2,1,1,7,2450998609,0.5654,0.9832,0.7846,0.8703,0.7977,0.8795
